črna,black
bela,white
rdeča,red
modra,blue
zelena,green
rumena,yellow
roza,pink
oranžna,orange
vojolična,purple
rjava,brown
mačka,cat
pes,dog
konj,horse
prašič,pig
krava,cow
kokoš,chicken
lisica,fox
ptica,bird
žaba,frog
zajec,rabbit
dervo,tree
roža,flower
hiša,house
okno,window
vrata,door
miza,table
stol,chair
torba,bag
balon,balloon
svetilka,lamp
svinčnik,pencil
nalivno pero,pen
zvezek,notebook
knjiga,book
kuhinja,kitchen
dnevna soba,living room
kopalnica,bathroom
spalnica,bedroom
jedilnica,dining room
garaža,gaeage
vrt,garden
stopnice,stairs
oblak,cloud
sonce,sun
dež,rain
sneg,snow
veter,windo
noč,night
dan,dey
ponedeljek,monday
torek,tuesday
sreda,wednesday
četrtek,thurstay
petek,friday
sobota,saturday
nedelja,sunday
